stress_level,method,metric,mean,ci95,n
0.0,action_clipping_filter,action_regret,0.632310,0.008099,10
0.0,action_clipping_filter,boundary_ece,0.105482,0.016126,10
0.0,action_clipping_filter,boundary_f1,0.752115,0.014852,10
0.0,action_clipping_filter,deployed_violation,0.517222,0.019475,10
0.0,action_clipping_filter,filter_dependence,0.674837,0.005428,10
0.0,action_clipping_filter,intervention_rate,0.876111,0.006896,10
0.0,action_clipping_filter,intervention_severity,0.207510,0.001596,10
0.0,action_clipping_filter,mechanism_utility,-0.104915,0.012692,10
0.0,action_clipping_filter,recovery_success,0.322500,0.019638,10
0.0,action_clipping_filter,robust_utility,-0.314915,0.024873,10
0.0,action_clipping_filter,task_success,0.261667,0.017479,10
0.0,action_clipping_filter,transfer_violation,0.836389,0.011404,10
0.0,action_clipping_filter,unshielded_violation,0.817222,0.008994,10
0.0,adversarial_safety_critic,action_regret,0.559618,0.006411,10
0.0,adversarial_safety_critic,boundary_ece,0.234527,0.015760,10
0.0,adversarial_safety_critic,boundary_f1,0.523095,0.010886,10
0.0,adversarial_safety_critic,deployed_violation,0.648333,0.015510,10
0.0,adversarial_safety_critic,filter_dependence,0.163876,0.005927,10
0.0,adversarial_safety_critic,intervention_rate,0.413611,0.016140,10
0.0,adversarial_safety_critic,intervention_severity,0.061900,0.002362,10
0.0,adversarial_safety_critic,mechanism_utility,0.187901,0.017767,10
0.0,adversarial_safety_critic,recovery_success,0.142222,0.010163,10
0.0,adversarial_safety_critic,robust_utility,-0.245886,0.022618,10
0.0,adversarial_safety_critic,task_success,0.265278,0.018423,10
0.0,adversarial_safety_critic,transfer_violation,0.698611,0.013068,10
0.0,adversarial_safety_critic,unshielded_violation,0.778055,0.015387,10
0.0,boundary_learning_filter_v4,action_regret,0.507145,0.007289,10
0.0,boundary_learning_filter_v4,boundary_ece,0.113336,0.014694,10
0.0,boundary_learning_filter_v4,boundary_f1,0.708457,0.014823,10
0.0,boundary_learning_filter_v4,deployed_violation,0.513056,0.016614,10
0.0,boundary_learning_filter_v4,filter_dependence,0.237076,0.005754,10
0.0,boundary_learning_filter_v4,intervention_rate,0.755278,0.016622,10
0.0,boundary_learning_filter_v4,intervention_severity,0.102509,0.002197,10
0.0,boundary_learning_filter_v4,mechanism_utility,0.190940,0.017854,10
0.0,boundary_learning_filter_v4,recovery_success,0.282222,0.014500,10
0.0,boundary_learning_filter_v4,robust_utility,-0.106375,0.021551,10
0.0,boundary_learning_filter_v4,task_success,0.341667,0.013087,10
0.0,boundary_learning_filter_v4,transfer_violation,0.639722,0.019344,10
0.0,boundary_learning_filter_v4,unshielded_violation,0.765000,0.012180,10
0.0,cbf_safety_filter,action_regret,0.509304,0.005604,10
0.0,cbf_safety_filter,boundary_ece,0.166019,0.012005,10
0.0,cbf_safety_filter,boundary_f1,0.749069,0.010399,10
0.0,cbf_safety_filter,deployed_violation,0.304722,0.010332,10
0.0,cbf_safety_filter,filter_dependence,0.734218,0.010508,10
0.0,cbf_safety_filter,intervention_rate,0.872500,0.009754,10
0.0,cbf_safety_filter,intervention_severity,0.212949,0.002596,10
0.0,cbf_safety_filter,mechanism_utility,-0.102460,0.014373,10
0.0,cbf_safety_filter,recovery_success,0.506667,0.018688,10
0.0,cbf_safety_filter,robust_utility,0.101469,0.019037,10
0.0,cbf_safety_filter,task_success,0.547222,0.014721,10
0.0,cbf_safety_filter,transfer_violation,0.818889,0.009800,10
0.0,cbf_safety_filter,unshielded_violation,0.810555,0.011415,10
0.0,conformal_uncertainty_shield,action_regret,0.532118,0.006451,10
0.0,conformal_uncertainty_shield,boundary_ece,0.239223,0.015965,10
0.0,conformal_uncertainty_shield,boundary_f1,0.748038,0.008905,10
0.0,conformal_uncertainty_shield,deployed_violation,0.334722,0.012916,10
0.0,conformal_uncertainty_shield,filter_dependence,0.760453,0.008716,10
0.0,conformal_uncertainty_shield,intervention_rate,0.876389,0.010145,10
0.0,conformal_uncertainty_shield,intervention_severity,0.252020,0.002854,10
0.0,conformal_uncertainty_shield,mechanism_utility,-0.104901,0.014138,10
0.0,conformal_uncertainty_shield,recovery_success,0.466667,0.015654,10
0.0,conformal_uncertainty_shield,robust_utility,0.026371,0.025403,10
0.0,conformal_uncertainty_shield,task_success,0.508055,0.020265,10
0.0,conformal_uncertainty_shield,transfer_violation,0.795000,0.011122,10
0.0,conformal_uncertainty_shield,unshielded_violation,0.801667,0.012153,10
0.0,counterfactual_boundary_learning_filter_v5,action_regret,0.458681,0.006777,10
0.0,counterfactual_boundary_learning_filter_v5,boundary_ece,0.078334,0.013479,10
0.0,counterfactual_boundary_learning_filter_v5,boundary_f1,0.703974,0.007868,10
0.0,counterfactual_boundary_learning_filter_v5,deployed_violation,0.449167,0.019207,10
0.0,counterfactual_boundary_learning_filter_v5,filter_dependence,0.187678,0.002127,10
0.0,counterfactual_boundary_learning_filter_v5,intervention_rate,0.747778,0.009665,10
0.0,counterfactual_boundary_learning_filter_v5,intervention_severity,0.107802,0.001342,10
0.0,counterfactual_boundary_learning_filter_v5,mechanism_utility,0.243040,0.016837,10
0.0,counterfactual_boundary_learning_filter_v5,recovery_success,0.324444,0.023977,10
0.0,counterfactual_boundary_learning_filter_v5,robust_utility,0.023173,0.017740,10
0.0,counterfactual_boundary_learning_filter_v5,task_success,0.418889,0.011443,10
0.0,counterfactual_boundary_learning_filter_v5,transfer_violation,0.597778,0.018681,10
0.0,counterfactual_boundary_learning_filter_v5,unshielded_violation,0.746667,0.014672,10
0.0,geometric_projection_filter,action_regret,0.584116,0.005269,10
0.0,geometric_projection_filter,boundary_ece,0.194293,0.013093,10
0.0,geometric_projection_filter,boundary_f1,0.596151,0.023034,10
0.0,geometric_projection_filter,deployed_violation,0.576667,0.011655,10
0.0,geometric_projection_filter,filter_dependence,0.396265,0.012571,10
0.0,geometric_projection_filter,intervention_rate,0.539167,0.014909,10
0.0,geometric_projection_filter,intervention_severity,0.107332,0.002933,10
0.0,geometric_projection_filter,mechanism_utility,0.024826,0.021839,10
0.0,geometric_projection_filter,recovery_success,0.243889,0.008809,10
0.0,geometric_projection_filter,robust_utility,-0.202715,0.019851,10
0.0,geometric_projection_filter,task_success,0.324444,0.016826,10
0.0,geometric_projection_filter,transfer_violation,0.826389,0.007087,10
0.0,geometric_projection_filter,unshielded_violation,0.810833,0.019282,10
0.0,lagrangian_safe_rl,action_regret,0.550365,0.006677,10
0.0,lagrangian_safe_rl,boundary_ece,0.171484,0.015110,10
0.0,lagrangian_safe_rl,boundary_f1,0.592125,0.019347,10
0.0,lagrangian_safe_rl,deployed_violation,0.623889,0.014636,10
0.0,lagrangian_safe_rl,filter_dependence,0.198602,0.005594,10
0.0,lagrangian_safe_rl,intervention_rate,0.526944,0.013188,10
0.0,lagrangian_safe_rl,intervention_severity,0.065801,0.001650,10
0.0,lagrangian_safe_rl,mechanism_utility,0.160470,0.016174,10
0.0,lagrangian_safe_rl,recovery_success,0.170833,0.011224,10
0.0,lagrangian_safe_rl,robust_utility,-0.189993,0.022148,10
