split,comparison,metric,mean,ci95,lower95,upper95,better_seeds,n
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,task_success,0.219271,0.026069,0.193202,0.245340,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,deployed_violation,-0.398437,0.022584,-0.421022,-0.375853,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,unshielded_violation,-0.047917,0.015726,-0.063643,-0.032190,1,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,intervention_rate,0.931771,0.012311,0.919460,0.944082,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,intervention_severity,0.149939,0.001937,0.148002,0.151877,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,filter_dependence,0.243002,0.002766,0.240236,0.245769,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,boundary_f1,0.846489,0.009868,0.836620,0.856357,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,boundary_ece,-0.483584,0.009818,-0.493403,-0.473766,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,transfer_violation,-0.213021,0.023001,-0.236022,-0.190020,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,recovery_success,0.359896,0.018163,0.341733,0.378059,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,robust_utility,0.392984,0.030476,0.362509,0.423460,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,mechanism_utility,0.015624,0.016024,-0.000400,0.031647,8,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,action_regret,-0.158405,0.008781,-0.167186,-0.149624,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,task_success,0.110417,0.032525,0.077892,0.142941,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,deployed_violation,-0.102084,0.029002,-0.131085,-0.073082,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,unshielded_violation,-0.028646,0.017166,-0.045812,-0.011480,2,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,intervention_rate,-0.011979,0.017017,-0.028997,0.005038,3,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,intervention_severity,-0.091390,0.003045,-0.094435,-0.088345,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,filter_dependence,-0.512320,0.010155,-0.522475,-0.502164,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,boundary_f1,-0.001837,0.010101,-0.011938,0.008264,2,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,boundary_ece,-0.050382,0.012945,-0.063327,-0.037437,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,transfer_violation,-0.216667,0.026279,-0.242945,-0.190388,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,recovery_success,0.051563,0.029091,0.022471,0.080654,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,robust_utility,0.313873,0.037733,0.276140,0.351606,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,mechanism_utility,0.307076,0.011458,0.295618,0.318534,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,action_regret,-0.176679,0.011256,-0.187935,-0.165422,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,task_success,0.042708,0.024004,0.018705,0.066712,9,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,deployed_violation,-0.085417,0.041290,-0.126707,-0.044126,1,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,unshielded_violation,-0.047396,0.012773,-0.060169,-0.034623,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,intervention_rate,0.201042,0.026585,0.174456,0.227627,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,intervention_severity,-0.006184,0.006313,-0.012497,0.000129,3,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,filter_dependence,-0.316605,0.020735,-0.337340,-0.295870,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,boundary_f1,0.085932,0.020430,0.065502,0.106362,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,boundary_ece,-0.142043,0.012905,-0.154948,-0.129138,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,transfer_violation,-0.207812,0.022024,-0.229836,-0.185789,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,recovery_success,0.039584,0.041847,-0.002264,0.081431,8,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,robust_utility,0.169372,0.037424,0.131948,0.206796,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,mechanism_utility,0.233243,0.013660,0.219583,0.246903,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,action_regret,-0.115781,0.012486,-0.128267,-0.103295,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,task_success,-0.171875,0.028307,-0.200182,-0.143568,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,deployed_violation,0.185937,0.028103,0.157834,0.214041,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,unshielded_violation,-0.031250,0.016877,-0.048127,-0.014373,1,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,intervention_rate,-0.051042,0.015126,-0.066168,-0.035916,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,intervention_severity,-0.113740,0.002811,-0.116551,-0.110929,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,filter_dependence,-0.616216,0.008356,-0.624572,-0.607861,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,boundary_f1,-0.015078,0.006361,-0.021440,-0.008717,1,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,boundary_ece,-0.081365,0.011390,-0.092755,-0.069975,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,transfer_violation,-0.203646,0.025620,-0.229266,-0.178025,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,recovery_success,-0.205208,0.024875,-0.230083,-0.180333,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,robust_utility,-0.133061,0.037487,-0.170547,-0.095574,0,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,mechanism_utility,0.332347,0.015914,0.316434,0.348261,10,10
actuator_lag_shift,counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,action_regret,-0.038544,0.011566,-0.050110,-0.026978,0,10
