method,metric,mean,ci95,n
action_clipping_filter,action_regret,0.713347,0.004722,10
action_clipping_filter,boundary_ece,0.163654,0.008938,10
action_clipping_filter,boundary_f1,0.886533,0.005162,10
action_clipping_filter,deployed_violation,0.623828,0.012574,10
action_clipping_filter,filter_dependence,0.781996,0.002934,10
action_clipping_filter,intervention_rate,0.960938,0.003183,10
action_clipping_filter,intervention_severity,0.245625,0.000803,10
action_clipping_filter,mechanism_utility,-0.297918,0.006262,10
action_clipping_filter,recovery_success,0.324349,0.010937,10
action_clipping_filter,robust_utility,-0.554926,0.011930,10
action_clipping_filter,task_success,0.125651,0.006987,10
action_clipping_filter,transfer_violation,0.941666,0.006097,10
action_clipping_filter,unshielded_violation,0.926172,0.005579,10
adversarial_safety_critic,action_regret,0.627534,0.005078,10
adversarial_safety_critic,boundary_ece,0.275023,0.006897,10
adversarial_safety_critic,boundary_f1,0.806562,0.008253,10
adversarial_safety_critic,deployed_violation,0.678646,0.010583,10
adversarial_safety_critic,filter_dependence,0.327256,0.003886,10
adversarial_safety_critic,intervention_rate,0.785286,0.008477,10
adversarial_safety_critic,intervention_severity,0.128204,0.001421,10
adversarial_safety_critic,mechanism_utility,-0.065526,0.009738,10
adversarial_safety_critic,recovery_success,0.240495,0.007760,10
adversarial_safety_critic,robust_utility,-0.454358,0.016059,10
adversarial_safety_critic,task_success,0.131901,0.010123,10
adversarial_safety_critic,transfer_violation,0.863021,0.005241,10
adversarial_safety_critic,unshielded_violation,0.906250,0.008490,10
boundary_learning_filter_v4,action_regret,0.589683,0.003758,10
boundary_learning_filter_v4,boundary_ece,0.117702,0.006965,10
boundary_learning_filter_v4,boundary_f1,0.882424,0.004288,10
boundary_learning_filter_v4,deployed_violation,0.608073,0.009442,10
boundary_learning_filter_v4,filter_dependence,0.315556,0.001417,10
boundary_learning_filter_v4,intervention_rate,0.952995,0.003455,10
boundary_learning_filter_v4,intervention_severity,0.145223,0.000522,10
boundary_learning_filter_v4,mechanism_utility,-0.040462,0.006697,10
boundary_learning_filter_v4,recovery_success,0.310026,0.009022,10
boundary_learning_filter_v4,robust_utility,-0.375053,0.009947,10
boundary_learning_filter_v4,task_success,0.166536,0.005373,10
boundary_learning_filter_v4,transfer_violation,0.808984,0.007935,10
boundary_learning_filter_v4,unshielded_violation,0.902214,0.006268,10
cbf_safety_filter,action_regret,0.583643,0.003990,10
cbf_safety_filter,boundary_ece,0.190142,0.007012,10
cbf_safety_filter,boundary_f1,0.895895,0.004644,10
cbf_safety_filter,deployed_violation,0.343880,0.009229,10
cbf_safety_filter,filter_dependence,0.878533,0.002440,10
cbf_safety_filter,intervention_rate,0.988281,0.002084,10
cbf_safety_filter,intervention_severity,0.268331,0.000666,10
cbf_safety_filter,mechanism_utility,-0.313174,0.005437,10
cbf_safety_filter,recovery_success,0.575260,0.006620,10
cbf_safety_filter,robust_utility,-0.146126,0.013258,10
cbf_safety_filter,task_success,0.374609,0.009943,10
cbf_safety_filter,transfer_violation,0.934245,0.005464,10
cbf_safety_filter,unshielded_violation,0.918750,0.004324,10
conformal_uncertainty_shield,action_regret,0.608802,0.005132,10
conformal_uncertainty_shield,boundary_ece,0.274012,0.007500,10
conformal_uncertainty_shield,boundary_f1,0.897660,0.004300,10
conformal_uncertainty_shield,deployed_violation,0.370312,0.010031,10
conformal_uncertainty_shield,filter_dependence,0.909564,0.002490,10
conformal_uncertainty_shield,intervention_rate,0.991406,0.002125,10
conformal_uncertainty_shield,intervention_severity,0.320361,0.000918,10
conformal_uncertainty_shield,mechanism_utility,-0.334757,0.006499,10
conformal_uncertainty_shield,recovery_success,0.552864,0.009289,10
conformal_uncertainty_shield,robust_utility,-0.226653,0.017436,10
conformal_uncertainty_shield,task_success,0.332552,0.012457,10
conformal_uncertainty_shield,transfer_violation,0.926042,0.002867,10
conformal_uncertainty_shield,unshielded_violation,0.920052,0.005219,10
counterfactual_boundary_learning_filter_v5,action_regret,0.536144,0.005498,10
