split,method,metric,mean,ci95,n
actuator_lag_shift,action_clipping_filter,action_regret,0.700357,0.006894,10
actuator_lag_shift,action_clipping_filter,boundary_ece,0.157354,0.020839,10
actuator_lag_shift,action_clipping_filter,boundary_f1,0.848326,0.012498,10
actuator_lag_shift,action_clipping_filter,deployed_violation,0.615104,0.016492,10
actuator_lag_shift,action_clipping_filter,filter_dependence,0.755322,0.009286,10
actuator_lag_shift,action_clipping_filter,intervention_rate,0.943750,0.009231,10
actuator_lag_shift,action_clipping_filter,intervention_severity,0.241330,0.001952,10
actuator_lag_shift,action_clipping_filter,mechanism_utility,-0.241223,0.007434,10
actuator_lag_shift,action_clipping_filter,recovery_success,0.308333,0.018749,10
actuator_lag_shift,action_clipping_filter,robust_utility,-0.510750,0.019367,10
actuator_lag_shift,action_clipping_filter,task_success,0.156771,0.014553,10
actuator_lag_shift,action_clipping_filter,transfer_violation,0.916146,0.011734,10
actuator_lag_shift,action_clipping_filter,unshielded_violation,0.888542,0.008899,10
actuator_lag_shift,adversarial_safety_critic,action_regret,0.612940,0.006507,10
actuator_lag_shift,adversarial_safety_critic,boundary_ece,0.272372,0.017423,10
actuator_lag_shift,adversarial_safety_critic,boundary_f1,0.724030,0.023908,10
actuator_lag_shift,adversarial_safety_critic,deployed_violation,0.670312,0.017685,10
actuator_lag_shift,adversarial_safety_critic,filter_dependence,0.283135,0.009953,10
actuator_lag_shift,adversarial_safety_critic,intervention_rate,0.692708,0.023378,10
actuator_lag_shift,adversarial_safety_critic,intervention_severity,0.113202,0.003875,10
actuator_lag_shift,adversarial_safety_critic,mechanism_utility,0.009597,0.024955,10
actuator_lag_shift,adversarial_safety_critic,recovery_success,0.209896,0.018391,10
actuator_lag_shift,adversarial_safety_critic,robust_utility,-0.415686,0.021894,10
actuator_lag_shift,adversarial_safety_critic,task_success,0.151562,0.017381,10
actuator_lag_shift,adversarial_safety_critic,transfer_violation,0.809896,0.015906,10
actuator_lag_shift,adversarial_safety_critic,unshielded_violation,0.866667,0.021152,10
actuator_lag_shift,boundary_learning_filter_v4,action_regret,0.570065,0.010117,10
actuator_lag_shift,boundary_learning_filter_v4,boundary_ece,0.141331,0.018951,10
actuator_lag_shift,boundary_learning_filter_v4,boundary_f1,0.834070,0.018696,10
actuator_lag_shift,boundary_learning_filter_v4,deployed_violation,0.585937,0.020030,10
actuator_lag_shift,boundary_learning_filter_v4,filter_dependence,0.296370,0.005793,10
actuator_lag_shift,boundary_learning_filter_v4,intervention_rate,0.909896,0.013784,10
actuator_lag_shift,boundary_learning_filter_v4,intervention_severity,0.138871,0.002197,10
actuator_lag_shift,boundary_learning_filter_v4,mechanism_utility,0.019163,0.018011,10
actuator_lag_shift,boundary_learning_filter_v4,recovery_success,0.301042,0.014738,10
actuator_lag_shift,boundary_learning_filter_v4,robust_utility,-0.308528,0.032255,10
