seed,split,method,task_success,deployed_violation,unshielded_violation,intervention_rate,intervention_severity,filter_dependence,boundary_f1,boundary_ece,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret
0,actuator_lag_shift,action_clipping_filter,0.161458,0.604167,0.880208,0.932292,0.236325,0.741302,0.822086,0.142339,0.937500,0.296875,-0.494771,-0.232786,0.693336
0,actuator_lag_shift,adversarial_safety_critic,0.119792,0.723958,0.869792,0.651042,0.106430,0.261021,0.647059,0.283469,0.817708,0.182292,-0.475974,0.011122,0.632588
0,actuator_lag_shift,boundary_learning_filter_v4,0.223958,0.562500,0.885417,0.927083,0.141724,0.302057,0.843077,0.166947,0.765625,0.333333,-0.283329,-0.002471,0.561366
0,actuator_lag_shift,cbf_safety_filter,0.411458,0.343750,0.895833,0.984375,0.264268,0.860687,0.863095,0.183592,0.901042,0.552083,-0.103287,-0.272291,0.573359
0,actuator_lag_shift,conformal_uncertainty_shield,0.416667,0.354167,0.895833,0.968750,0.301199,0.871484,0.846847,0.293913,0.875000,0.541667,-0.116536,-0.275448,0.578794
0,actuator_lag_shift,counterfactual_boundary_learning_filter_v5,0.296875,0.479167,0.848958,0.947917,0.152275,0.247042,0.851064,0.099215,0.666667,0.375000,-0.146351,0.086386,0.507813
0,actuator_lag_shift,geometric_projection_filter,0.203125,0.593750,0.906250,0.744792,0.160195,0.567167,0.751724,0.244032,0.911458,0.328125,-0.388010,-0.171418,0.643870
0,actuator_lag_shift,lagrangian_safe_rl,0.177083,0.718750,0.875000,0.687500,0.095475,0.268406,0.724014,0.232456,0.828125,0.182292,-0.412381,0.003277,0.621578
0,actuator_lag_shift,oracle_boundary_teacher,0.510417,0.229167,0.828125,0.994792,0.097392,0.166687,0.869822,0.045898,0.541667,0.598958,0.268033,0.199666,0.338383
0,actuator_lag_shift,recovery_policy_shield,0.453125,0.390625,0.869792,0.921875,0.190606,0.635937,0.845679,0.154691,0.833333,0.484375,-0.019543,-0.127979,0.512997
0,actuator_lag_shift,robust_mpc_shield,0.572917,0.239583,0.869792,0.973958,0.244967,0.816094,0.862275,0.171191,0.885417,0.630208,0.145017,-0.214114,0.489709
0,actuator_lag_shift,safety_filter_distillation,0.260417,0.520833,0.880208,0.942708,0.140915,0.315187,0.841463,0.137764,0.750000,0.369792,-0.222746,0.004294,0.548171
