seed,split,budget,method,coverage,accepted_success,accepted_deployed_violation,accepted_unshielded_violation,accepted_transfer_violation,accepted_utility
0,combined_safety_stress,0.0,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.0,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.0,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.0,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.0,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.0,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.05,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.05,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.05,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.05,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.05,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.1,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.1,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.1,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.1,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.1,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.15,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.15,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.15,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.15,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,combined_safety_stress,0.15,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.0,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.0,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.0,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.0,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.0,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.0,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.05,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.05,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.05,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.05,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.05,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.05,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.1,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.1,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.1,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.1,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.1,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.1,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.15,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.15,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.15,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.15,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.15,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,low_signal_high_risk_shift,0.15,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.0,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.0,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.0,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.0,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.0,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.0,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.05,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.05,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.05,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.05,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.05,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.05,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.1,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.1,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.1,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.1,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.1,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.1,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.15,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.15,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.15,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.15,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.15,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,combined_safety_stress,0.15,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,low_signal_high_risk_shift,0.0,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,low_signal_high_risk_shift,0.0,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,low_signal_high_risk_shift,0.0,counterfactual_boundary_learning_filter_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,low_signal_high_risk_shift,0.0,recovery_policy_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,low_signal_high_risk_shift,0.0,robust_mpc_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,low_signal_high_risk_shift,0.0,safety_filter_distillation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,low_signal_high_risk_shift,0.05,cbf_safety_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,low_signal_high_risk_shift,0.05,conformal_uncertainty_shield,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
