method,split,task,seed,episode,stress_level,task_success,deployment_violation,intervention_rate,control_distortion,recovery_success,unshielded_violation,unshielded_success,filter_dependence,transfer_violation,oracle_regret,unsafe_boundary,boundary_pred,nominal_risk,predicted_risk,learned_boundary
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,0,0.00,0,1,0,0.0,1,1,0,0,0,1.691648524485834,0,0,0.4224894254655571,0.39744534754786426,0.0
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,1,0.00,0,1,0,0.0,1,0,0,0,1,1.5688578358675884,0,0,0.4885796989586105,0.36513930798333005,0.009859260397693196
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,2,0.00,0,0,0,0.0,1,1,0,0,0,0.889953728314737,0,0,0.4858854090829889,0.4758809654485628,0.01887760648806894
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,3,0.00,1,0,0,0.0,1,1,0,0,0,0.16747209060195234,0,0,0.4185410181480425,0.3612565927065742,0.02782925467000265
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,4,0.00,0,1,0,0.0,1,0,0,0,0,1.5687082546599926,0,0,0.5208461492229862,0.45254797006034103,0.03544949558449697
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,5,0.00,1,0,0,0.0,1,0,1,0,0,0.04905575333270473,0,0,0.37970911121576084,0.29711461767125896,0.04231303596427227
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,6,0.00,1,0,0,0.0,1,1,0,0,0,0.17002918690452196,0,0,0.4509704191394133,0.4792736016927081,0.0492361290354721
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,7,0.00,0,1,0,0.0,0,1,0,0,0,1.6879209774937525,0,0,0.3169604405110853,0.40445694844185226,0.05537680321226465
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,8,0.00,0,0,0,0.0,0,0,1,0,0,0.7664420134419192,0,0,0.42748038781392605,0.39703518735450916,0.061073820781965646
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,9,0.00,1,0,0,0.0,1,0,0,0,0,0.04449717547890919,0,0,0.39063522243535326,0.3884631728658942,0.06670040360048025
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,10,0.00,1,0,0,0.0,0,0,1,0,1,0.03985492369036003,0,0,0.43841394197822875,0.38449298689215183,0.07160003769260206
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,11,0.00,1,0,0,0.0,1,0,0,0,1,0.04668496840698355,0,0,0.4700780677646838,0.44334778663152513,0.07686800873904683
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,12,0.00,1,0,0,0.0,1,0,0,0,0,0.05389484090295127,0,0,0.32773674412495696,0.36662769761165975,0.08200161382517379
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,13,0.00,1,0,0,0.0,1,0,1,0,0,0.04532476751652448,0,0,0.44544524559213494,0.42416960618149546,0.08315597252850672
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,14,0.00,1,0,0,0.0,0,0,1,0,1,0.05378340996126563,0,0,0.3668833010029494,0.31288282914043675,0.08871205913783363
cbf_safety_filter,combined_safety_stress,narrow_corridor_navigation,0,15,0.00,1,0,0,0.0,1,0,1,0,0,0.047327999102223184,0,0,0.3880090758149703,0.38754496794497023,0.09258853549133726
