method,metric,mean,ci95,n
cbf_feedback_only,action_regret,0.587431,0.004139,10
cbf_feedback_only,boundary_ece,0.193371,0.005772,10
cbf_feedback_only,boundary_f1,0.893773,0.004571,10
cbf_feedback_only,deployed_violation,0.353516,0.009336,10
cbf_feedback_only,filter_dependence,0.872682,0.001870,10
cbf_feedback_only,intervention_rate,0.981511,0.002042,10
cbf_feedback_only,intervention_severity,0.266596,0.000776,10
cbf_feedback_only,mechanism_utility,-0.323901,0.007283,10
cbf_feedback_only,recovery_success,0.579167,0.006318,10
cbf_feedback_only,robust_utility,-0.159410,0.013585,10
cbf_feedback_only,task_success,0.366015,0.010689,10
cbf_feedback_only,transfer_violation,0.933203,0.005733,10
cbf_feedback_only,unshielded_violation,0.931771,0.006391,10
clipping_feedback_only,action_regret,0.711931,0.003614,10
clipping_feedback_only,boundary_ece,0.168302,0.006798,10
clipping_feedback_only,boundary_f1,0.884529,0.005193,10
clipping_feedback_only,deployed_violation,0.621875,0.009242,10
clipping_feedback_only,filter_dependence,0.777247,0.003960,10
clipping_feedback_only,intervention_rate,0.954948,0.004569,10
clipping_feedback_only,intervention_severity,0.243816,0.001144,10
clipping_feedback_only,mechanism_utility,-0.295893,0.005940,10
clipping_feedback_only,recovery_success,0.323437,0.008108,10
clipping_feedback_only,robust_utility,-0.552763,0.010848,10
clipping_feedback_only,task_success,0.125130,0.006382,10
clipping_feedback_only,transfer_violation,0.937240,0.006013,10
clipping_feedback_only,unshielded_violation,0.927604,0.005219,10
distill_only_boundary,action_regret,0.581900,0.005196,10
distill_only_boundary,boundary_ece,0.134581,0.006685,10
distill_only_boundary,boundary_f1,0.886607,0.004094,10
distill_only_boundary,deployed_violation,0.577083,0.011399,10
distill_only_boundary,filter_dependence,0.326963,0.001375,10
distill_only_boundary,intervention_rate,0.959636,0.003917,10
distill_only_boundary,intervention_severity,0.144062,0.000583,10
distill_only_boundary,mechanism_utility,-0.054092,0.007228,10
distill_only_boundary,recovery_success,0.339323,0.008867,10
distill_only_boundary,robust_utility,-0.332455,0.015746,10
distill_only_boundary,task_success,0.191667,0.009608,10
distill_only_boundary,transfer_violation,0.841797,0.004189,10
distill_only_boundary,unshielded_violation,0.902995,0.006289,10
full_counterfactual_boundary_v5,action_regret,0.540199,0.005276,10
full_counterfactual_boundary_v5,boundary_ece,0.100682,0.006836,10
full_counterfactual_boundary_v5,boundary_f1,0.890115,0.004655,10
full_counterfactual_boundary_v5,deployed_violation,0.533854,0.012138,10
full_counterfactual_boundary_v5,filter_dependence,0.257363,0.001092,10
full_counterfactual_boundary_v5,intervention_rate,0.971614,0.002816,10
full_counterfactual_boundary_v5,intervention_severity,0.157348,0.000559,10
full_counterfactual_boundary_v5,mechanism_utility,0.002346,0.004483,10
full_counterfactual_boundary_v5,recovery_success,0.369141,0.011591,10
full_counterfactual_boundary_v5,robust_utility,-0.250100,0.015011,10
full_counterfactual_boundary_v5,task_success,0.233203,0.007847,10
full_counterfactual_boundary_v5,transfer_violation,0.763802,0.007150,10
full_counterfactual_boundary_v5,unshielded_violation,0.896094,0.004112,10
minus_boundary_margin_loss,action_regret,0.611638,0.004157,10
minus_boundary_margin_loss,boundary_ece,0.160105,0.007539,10
minus_boundary_margin_loss,boundary_f1,0.865456,0.005226,10
minus_boundary_margin_loss,deployed_violation,0.606901,0.009917,10
minus_boundary_margin_loss,filter_dependence,0.431628,0.001866,10
minus_boundary_margin_loss,intervention_rate,0.912240,0.005274,10
