seed,task,split,episode,stress_level,method,threshold,boundary_score,boundary_label,predicted_boundary,accepted,task_success,deployed_violation,unshielded_violation,intervention,intervention_severity,filter_dependence,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret,hazard_probability
0,narrow_gap_navigation,actuator_lag_shift,0,,full_counterfactual_boundary_v5,0.520000,0.564964,1,1,1,0,1,1,1,0.147961,0.280000,1,0,-0.786795,-0.198336,0.737033,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,minus_counterfactual_labels,0.480000,0.578722,1,1,1,1,0,1,1,0.164689,0.480000,1,1,0.829494,-0.223448,0.258044,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,minus_unshielded_replay,0.480000,0.447429,1,0,1,0,1,1,0,0.000000,0.000000,1,0,-0.690848,-0.069280,0.692800,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,minus_intervention_gradient,0.500000,0.703514,1,1,1,0,1,1,1,0.220263,0.420000,1,0,-0.837548,-0.264572,0.779247,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,minus_boundary_margin_loss,0.480000,0.379747,1,0,1,0,1,1,0,0.000000,0.000000,1,0,-0.690912,-0.069320,0.693200,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,minus_recovery_feasibility,0.500000,0.512649,1,1,1,0,1,1,1,0.157421,0.340000,1,0,-0.803591,-0.223249,0.759136,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,minus_calibration_layer,0.430000,0.826786,1,1,1,0,1,1,1,0.273402,0.300000,1,0,-0.827326,-0.230614,0.764012,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,distill_only_boundary,0.480000,0.600234,1,1,1,0,1,1,1,0.143652,0.360000,0,0,-0.803663,0.072197,0.759457,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,cbf_feedback_only,0.380000,0.659918,1,1,1,0,1,1,1,0.279305,0.940000,1,0,-0.962279,-0.467062,0.877875,0.741786
0,narrow_gap_navigation,actuator_lag_shift,0,,clipping_feedback_only,0.430000,0.536472,1,1,1,0,1,1,1,0.234548,0.860000,1,0,-0.934377,-0.429840,0.866219,0.741786
0,narrow_gap_navigation,actuator_lag_shift,1,,full_counterfactual_boundary_v5,0.520000,0.469705,0,0,1,1,0,0,0,0.000000,0.000000,0,0,0.974912,1.284320,0.156800,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,minus_counterfactual_labels,0.480000,0.658203,0,1,1,0,0,1,1,0.175092,0.336000,0,1,-0.176826,0.106620,0.442637,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,minus_unshielded_replay,0.480000,0.452835,0,0,1,0,1,1,0,0.000000,0.000000,0,0,-0.690848,0.230720,0.692800,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,minus_intervention_gradient,0.500000,0.684151,0,1,1,1,0,0,1,0.219261,0.294000,0,0,0.851041,1.133238,0.243947,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,minus_boundary_margin_loss,0.480000,0.430598,0,0,1,0,1,1,0,0.000000,0.000000,1,0,-0.690912,-0.069320,0.693200,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,minus_recovery_feasibility,0.500000,0.519580,0,1,1,1,0,0,1,0.159844,0.238000,1,0,0.879228,0.865195,0.227332,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,minus_calibration_layer,0.430000,0.690202,0,1,1,1,0,1,1,0.253277,0.210000,0,1,0.859614,0.157951,0.229590,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,distill_only_boundary,0.480000,0.688635,0,1,1,0,0,1,1,0.153577,0.252000,0,1,-0.153815,0.141328,0.428284,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,cbf_feedback_only,0.380000,0.434882,0,1,1,0,0,0,1,0.240121,0.658000,0,0,-0.263589,0.974780,0.516982,0.752732
0,narrow_gap_navigation,actuator_lag_shift,1,,clipping_feedback_only,0.430000,0.857846,0,1,1,0,0,0,1,0.289234,0.602000,1,0,-0.267577,0.684728,0.525102,0.752732
0,narrow_gap_navigation,actuator_lag_shift,2,,full_counterfactual_boundary_v5,0.520000,0.649334,1,1,1,0,1,1,1,0.155989,0.280000,1,0,-0.789114,-0.199926,0.738478,0.719299
0,narrow_gap_navigation,actuator_lag_shift,2,,minus_counterfactual_labels,0.480000,0.464957,1,0,1,0,1,1,0,0.000000,0.000000,1,0,-0.690528,-0.069080,0.690800,0.719299
0,narrow_gap_navigation,actuator_lag_shift,2,,minus_unshielded_replay,0.480000,0.519178,1,1,1,0,1,1,1,0.157815,0.500000,1,0,-0.836025,-0.281527,0.781207,0.719299
0,narrow_gap_navigation,actuator_lag_shift,2,,minus_intervention_gradient,0.500000,0.528704,1,1,1,0,1,1,1,0.195902,0.420000,1,0,-0.830512,-0.259749,0.774862,0.719299
0,narrow_gap_navigation,actuator_lag_shift,2,,minus_boundary_margin_loss,0.480000,0.424712,1,0,1,0,1,1,0,0.000000,0.000000,1,0,-0.690912,-0.069320,0.693200,0.719299
0,narrow_gap_navigation,actuator_lag_shift,2,,minus_recovery_feasibility,0.500000,0.586109,1,1,1,0,0,1,1,0.165177,0.340000,1,1,-0.174631,-0.192785,0.440532,0.719299
0,narrow_gap_navigation,actuator_lag_shift,2,,minus_calibration_layer,0.430000,0.771970,1,1,1,1,1,1,1,0.264334,0.300000,1,0,0.207292,-0.208818,0.562380,0.719299
0,narrow_gap_navigation,actuator_lag_shift,2,,distill_only_boundary,0.480000,0.472114,1,0,1,0,1,1,0,0.000000,0.000000,0,0,-0.690464,0.230960,0.690400,0.719299
