seed,method,task_success,deployed_violation,unshielded_violation,intervention_rate,intervention_severity,filter_dependence,boundary_f1,boundary_ece,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret
0,action_clipping_filter,0.130208,0.592448,0.919271,0.955729,0.244152,0.775904,0.877941,0.163028,0.945312,0.339844,-0.528777,-0.288518,0.701397
0,adversarial_safety_critic,0.121094,0.691406,0.903646,0.769531,0.125445,0.319344,0.787182,0.277647,0.863281,0.235677,-0.471193,-0.060214,0.632333
0,boundary_learning_filter_v4,0.161458,0.618490,0.899740,0.957031,0.145488,0.316641,0.883174,0.120412,0.802083,0.295573,-0.387161,-0.036798,0.594210
0,cbf_safety_filter,0.346354,0.356771,0.920573,0.985677,0.267861,0.875497,0.893709,0.185322,0.933594,0.562500,-0.182681,-0.314587,0.592970
0,conformal_uncertainty_shield,0.345052,0.372396,0.910156,0.992188,0.319790,0.908617,0.893372,0.273951,0.929688,0.539062,-0.214715,-0.325316,0.606753
0,counterfactual_boundary_learning_filter_v5,0.236979,0.496094,0.904948,0.976562,0.158551,0.258453,0.890988,0.090361,0.752604,0.415365,-0.222933,-0.002498,0.527708
0,geometric_projection_filter,0.174479,0.583333,0.938802,0.833333,0.179516,0.645536,0.824645,0.232927,0.932292,0.358073,-0.432188,-0.242655,0.659148
0,lagrangian_safe_rl,0.141927,0.688802,0.908854,0.816406,0.112334,0.324187,0.818835,0.223740,0.878906,0.235677,-0.445739,-0.069087,0.628754
0,oracle_boundary_teacher,0.428385,0.205729,0.880208,0.998698,0.097433,0.169852,0.898780,0.013903,0.617188,0.674479,0.197528,0.122882,0.347676
0,recovery_policy_shield,0.394531,0.377604,0.914062,0.970052,0.202375,0.678526,0.888403,0.135392,0.886719,0.539062,-0.083676,-0.206767,0.527778
0,robust_mpc_shield,0.475260,0.303385,0.915365,0.981771,0.250721,0.835430,0.894203,0.153184,0.916667,0.611979,-0.001550,-0.281196,0.533013
0,safety_filter_distillation,0.192708,0.566406,0.906250,0.972656,0.145940,0.330891,0.888565,0.120346,0.845052,0.345052,-0.325966,-0.059755,0.579084
0,shielded_behavior_cloning,0.114583,0.735677,0.904948,0.863281,0.136387,0.374828,0.836307,0.173493,0.893229,0.203125,-0.521028,-0.094899,0.662429
