comparison,metric,mean,ci95,lower95,upper95,better_seeds,n
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,task_success,0.197916,0.009389,0.188528,0.207305,10,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,deployed_violation,-0.411458,0.016046,-0.427505,-0.395412,0,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,unshielded_violation,-0.030078,0.007754,-0.037833,-0.022324,0,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,intervention_rate,0.972526,0.004016,0.968510,0.976542,10,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,intervention_severity,0.157420,0.000616,0.156804,0.158035,10,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,filter_dependence,0.257749,0.001382,0.256367,0.259132,10,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,boundary_f1,0.892408,0.006019,0.886390,0.898427,10,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,boundary_ece,-0.532556,0.006495,-0.539051,-0.526061,0,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,transfer_violation,-0.170833,0.010270,-0.181104,-0.160563,0,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,recovery_success,0.385677,0.013610,0.372067,0.399287,10,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,robust_utility,0.374068,0.017179,0.356889,0.391247,10,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,mechanism_utility,-0.021701,0.009318,-0.031019,-0.012383,0,10
counterfactual_boundary_learning_filter_v5_minus_unfiltered_policy,action_regret,-0.155184,0.006233,-0.161418,-0.148951,0,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,task_success,0.104167,0.010080,0.094087,0.114247,10,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,deployed_violation,-0.104948,0.017176,-0.122124,-0.087772,0,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,unshielded_violation,-0.028906,0.008437,-0.037343,-0.020469,0,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,intervention_rate,0.011588,0.004666,0.006922,0.016255,9,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,intervention_severity,-0.088206,0.001020,-0.089226,-0.087186,0,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,filter_dependence,-0.524246,0.002559,-0.526805,-0.521687,0,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,boundary_f1,0.005875,0.003394,0.002481,0.009270,8,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,boundary_ece,-0.063419,0.007224,-0.070644,-0.056195,0,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,transfer_violation,-0.174739,0.013012,-0.187751,-0.161727,0,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,recovery_success,0.061328,0.017826,0.043502,0.079154,10,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,robust_utility,0.310687,0.017392,0.293294,0.328079,10,10
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,mechanism_utility,0.298411,0.007945,0.290466,0.306357,10,10
