comparison,metric,mean,ci95,lower95,upper95,better_seeds,n
counterfactual_boundary_learning_filter_v5_minus_action_clipping_filter,action_regret,-0.177203,0.006584,-0.183787,-0.170619,0,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,task_success,0.044010,0.012125,0.031885,0.056136,10,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,deployed_violation,-0.056120,0.018577,-0.074697,-0.037543,0,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,unshielded_violation,-0.031250,0.006075,-0.037325,-0.025175,0,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,intervention_rate,0.141276,0.010586,0.130690,0.151862,10,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,intervention_severity,-0.021308,0.002155,-0.023462,-0.019153,0,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,filter_dependence,-0.387904,0.007454,-0.395358,-0.380451,0,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,boundary_f1,0.062049,0.005637,0.056412,0.067686,10,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,boundary_ece,-0.138982,0.005043,-0.144025,-0.133939,0,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,transfer_violation,-0.170573,0.009855,-0.180428,-0.160718,0,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,recovery_success,0.023959,0.018732,0.005227,0.042690,7,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,robust_utility,0.170794,0.022090,0.148704,0.192884,10,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,mechanism_utility,0.233818,0.006562,0.227256,0.240380,10,10
counterfactual_boundary_learning_filter_v5_minus_geometric_projection_filter,action_regret,-0.117944,0.007271,-0.125215,-0.110674,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,task_success,-0.144792,0.013134,-0.157926,-0.131658,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,deployed_violation,0.175000,0.015848,0.159152,0.190848,10,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,unshielded_violation,-0.021485,0.004861,-0.026345,-0.016624,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,intervention_rate,-0.015755,0.004981,-0.020737,-0.010774,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,intervention_severity,-0.110911,0.001071,-0.111982,-0.109840,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,filter_dependence,-0.620783,0.002343,-0.623126,-0.618441,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,boundary_f1,-0.003487,0.003190,-0.006677,-0.000296,3,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,boundary_ece,-0.089908,0.006167,-0.096075,-0.083740,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,transfer_violation,-0.167318,0.009490,-0.176808,-0.157828,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,recovery_success,-0.189583,0.014134,-0.203717,-0.175450,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,robust_utility,-0.098114,0.019950,-0.118064,-0.078164,0,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,mechanism_utility,0.313668,0.006692,0.306976,0.320360,10,10
counterfactual_boundary_learning_filter_v5_minus_cbf_safety_filter,action_regret,-0.047500,0.006453,-0.053953,-0.041047,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,task_success,-0.241406,0.016092,-0.257499,-0.225314,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,deployed_violation,0.221875,0.018198,0.203677,0.240073,10,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,unshielded_violation,-0.022917,0.005785,-0.028702,-0.017132,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,intervention_rate,-0.017448,0.004800,-0.022248,-0.012648,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,intervention_severity,-0.094490,0.000971,-0.095461,-0.093519,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,filter_dependence,-0.585098,0.002537,-0.587636,-0.582561,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,boundary_f1,-0.005233,0.002562,-0.007794,-0.002671,2,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,boundary_ece,-0.054129,0.008438,-0.062567,-0.045690,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,transfer_violation,-0.157162,0.009123,-0.166284,-0.148039,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,recovery_success,-0.236589,0.020775,-0.257364,-0.215813,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,robust_utility,-0.240730,0.024943,-0.265673,-0.215787,0,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,mechanism_utility,0.291531,0.005683,0.285848,0.297215,10,10
counterfactual_boundary_learning_filter_v5_minus_robust_mpc_shield,action_regret,0.003261,0.007931,-0.004670,0.011193,6,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,task_success,-0.102734,0.014692,-0.117427,-0.088042,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,deployed_violation,0.148568,0.014990,0.133578,0.163558,10,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,unshielded_violation,-0.022787,0.005872,-0.028659,-0.016914,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,intervention_rate,-0.018880,0.003554,-0.022434,-0.015327,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,intervention_severity,-0.162941,0.000923,-0.163864,-0.162019,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,filter_dependence,-0.651815,0.001640,-0.653455,-0.650175,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,boundary_f1,-0.005251,0.002264,-0.007515,-0.002987,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,boundary_ece,-0.173778,0.006597,-0.180375,-0.167180,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,transfer_violation,-0.159115,0.010383,-0.169497,-0.148732,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,recovery_success,-0.167187,0.016240,-0.183427,-0.150947,0,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,robust_utility,-0.017587,0.022254,-0.039840,0.004667,2,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,mechanism_utility,0.335251,0.006951,0.328300,0.342202,10,10
counterfactual_boundary_learning_filter_v5_minus_conformal_uncertainty_shield,action_regret,-0.072659,0.007031,-0.079690,-0.065627,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,task_success,-0.154818,0.010525,-0.165343,-0.144292,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,deployed_violation,0.110677,0.018162,0.092515,0.128839,10,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,unshielded_violation,-0.019141,0.006170,-0.025311,-0.012970,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,intervention_rate,0.014974,0.005397,0.009577,0.020371,10,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,intervention_severity,-0.042790,0.000982,-0.043772,-0.041807,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,filter_dependence,-0.413030,0.002161,-0.415191,-0.410868,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,boundary_f1,0.005927,0.003109,0.002819,0.009036,9,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,boundary_ece,-0.037270,0.004157,-0.041426,-0.033113,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,transfer_violation,-0.102214,0.011087,-0.113301,-0.091127,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,recovery_success,-0.124219,0.016430,-0.140649,-0.107788,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,robust_utility,-0.133206,0.018338,-0.151544,-0.114868,0,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,mechanism_utility,0.202276,0.006479,0.195797,0.208754,10,10
counterfactual_boundary_learning_filter_v5_minus_recovery_policy_shield,action_regret,-0.002086,0.006820,-0.008905,0.004734,4,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,task_success,0.102995,0.012383,0.090612,0.115378,10,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,deployed_violation,-0.197005,0.019518,-0.216523,-0.177487,0,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,unshielded_violation,-0.015235,0.007299,-0.022533,-0.007936,1,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,intervention_rate,0.123047,0.009391,0.113656,0.132437,10,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,intervention_severity,0.023855,0.001411,0.022444,0.025265,10,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,filter_dependence,-0.112617,0.004545,-0.117161,-0.108072,0,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,boundary_f1,0.051243,0.008680,0.042563,0.059923,10,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,boundary_ece,-0.079525,0.009290,-0.088816,-0.070235,0,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,transfer_violation,-0.126172,0.013242,-0.139413,-0.112930,0,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,recovery_success,0.167057,0.017820,0.149237,0.184877,10,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,robust_utility,0.249960,0.023769,0.226191,0.273729,10,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,mechanism_utility,0.099854,0.007498,0.092356,0.107351,10,10
counterfactual_boundary_learning_filter_v5_minus_shielded_behavior_cloning,action_regret,-0.116461,0.008325,-0.124786,-0.108136,0,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,task_success,0.081771,0.010624,0.071147,0.092394,10,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,deployed_violation,-0.167318,0.015752,-0.183069,-0.151566,0,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,unshielded_violation,-0.011719,0.007118,-0.018836,-0.004601,1,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,intervention_rate,0.147265,0.006725,0.140541,0.153990,10,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,intervention_severity,0.043741,0.000985,0.042756,0.044727,10,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,filter_dependence,-0.070731,0.002582,-0.073313,-0.068149,0,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,boundary_f1,0.063447,0.004691,0.058756,0.068139,10,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,boundary_ece,-0.113701,0.008398,-0.122099,-0.105303,0,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,transfer_violation,-0.110026,0.012014,-0.122040,-0.098012,0,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,recovery_success,0.145313,0.013322,0.131991,0.158635,10,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,robust_utility,0.194784,0.018352,0.176432,0.213135,10,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,mechanism_utility,0.070740,0.006078,0.064662,0.076818,10,10
counterfactual_boundary_learning_filter_v5_minus_lagrangian_safe_rl,action_regret,-0.091310,0.006397,-0.097707,-0.084914,0,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,task_success,0.097916,0.015269,0.082648,0.113185,10,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,deployed_violation,-0.159766,0.019874,-0.179640,-0.139891,0,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,unshielded_violation,-0.008984,0.009182,-0.018166,0.000197,4,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,intervention_rate,0.187240,0.008385,0.178854,0.195625,10,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,intervention_severity,0.029215,0.001522,0.027693,0.030738,10,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,filter_dependence,-0.069506,0.003516,-0.073023,-0.065990,0,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,boundary_f1,0.085846,0.005732,0.080114,0.091578,10,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,boundary_ece,-0.174789,0.008505,-0.183294,-0.166283,0,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,transfer_violation,-0.096093,0.010021,-0.106114,-0.086073,0,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,recovery_success,0.145182,0.017874,0.127309,0.163056,10,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,robust_utility,0.210118,0.026615,0.183503,0.236734,10,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,mechanism_utility,0.066020,0.011163,0.054857,0.077183,10,10
counterfactual_boundary_learning_filter_v5_minus_adversarial_safety_critic,action_regret,-0.091390,0.008963,-0.100354,-0.082427,0,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,task_success,0.030729,0.010982,0.019747,0.041711,10,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,deployed_violation,-0.063281,0.013586,-0.076867,-0.049695,0,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,unshielded_violation,-0.008464,0.004771,-0.013234,-0.003693,1,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,intervention_rate,-0.000781,0.004358,-0.005139,0.003576,4,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,intervention_severity,0.011741,0.000647,0.011094,0.012388,10,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,filter_dependence,-0.073657,0.001354,-0.075011,-0.072303,0,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,boundary_f1,0.002275,0.003104,-0.000829,0.005379,7,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,boundary_ece,-0.032169,0.005845,-0.038015,-0.026324,0,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,transfer_violation,-0.074219,0.009373,-0.083592,-0.064846,0,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,recovery_success,0.049870,0.013686,0.036184,0.063555,10,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,robust_utility,0.085113,0.016233,0.068880,0.101347,10,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,mechanism_utility,0.059068,0.005004,0.054064,0.064072,10,10
counterfactual_boundary_learning_filter_v5_minus_safety_filter_distillation,action_regret,-0.046721,0.005500,-0.052221,-0.041222,0,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,task_success,0.063281,0.008842,0.054439,0.072124,10,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,deployed_violation,-0.089193,0.014185,-0.103378,-0.075008,0,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,unshielded_violation,-0.004948,0.010362,-0.015310,0.005413,4,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,intervention_rate,0.019531,0.006731,0.012800,0.026262,9,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,intervention_severity,0.012196,0.000965,0.011232,0.013161,10,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,filter_dependence,-0.057807,0.001995,-0.059801,-0.055812,0,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,boundary_f1,0.009984,0.003833,0.006151,0.013817,9,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,boundary_ece,-0.017468,0.006231,-0.023699,-0.011237,0,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,transfer_violation,-0.042057,0.009557,-0.051614,-0.032500,0,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,recovery_success,0.075651,0.015004,0.060647,0.090655,10,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,robust_utility,0.130813,0.016447,0.114366,0.147261,10,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,mechanism_utility,0.040956,0.011080,0.029876,0.052036,10,10
counterfactual_boundary_learning_filter_v5_minus_boundary_learning_filter_v4,action_regret,-0.053539,0.005891,-0.059430,-0.047649,0,10
