seed,method,task_success,deployed_violation,unshielded_violation,intervention_rate,intervention_severity,filter_dependence,boundary_f1,boundary_ece,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret
0,cbf_feedback_only,0.365885,0.346354,0.934896,0.981771,0.268028,0.871826,0.891304,0.189193,0.908854,0.589844,-0.155267,-0.319468,0.585320
0,clipping_feedback_only,0.126302,0.638021,0.934896,0.950521,0.242603,0.772432,0.879056,0.173785,0.928385,0.313802,-0.560435,-0.299038,0.716067
0,distill_only_boundary,0.197917,0.571615,0.899740,0.962240,0.144124,0.327563,0.886447,0.131550,0.833333,0.342448,-0.322691,-0.048227,0.578983
0,full_counterfactual_boundary_v5,0.230469,0.536458,0.899740,0.976562,0.158425,0.258344,0.889535,0.096500,0.753906,0.367188,-0.255072,0.000963,0.541891
0,minus_boundary_margin_loss,0.195312,0.587240,0.914062,0.927083,0.168663,0.437370,0.863976,0.165332,0.867188,0.334635,-0.364649,-0.118147,0.604898
0,minus_calibration_layer,0.201823,0.546875,0.890625,0.989583,0.260466,0.280352,0.893218,0.124074,0.742188,0.352865,-0.325383,-0.015684,0.573961
0,minus_counterfactual_labels,0.183594,0.615885,0.917969,0.886719,0.153625,0.401625,0.846213,0.168825,0.838542,0.319010,-0.382977,-0.098454,0.607012
0,minus_intervention_gradient,0.171875,0.561198,0.907552,0.949219,0.208037,0.376687,0.878229,0.125046,0.845052,0.359375,-0.371042,-0.090061,0.597057
0,minus_recovery_feasibility,0.145833,0.613281,0.894531,0.911458,0.156423,0.292630,0.859729,0.174782,0.834635,0.303385,-0.399270,-0.035534,0.600355
0,minus_unshielded_replay,0.197917,0.593750,0.919271,0.907552,0.158031,0.428971,0.861678,0.162491,0.842448,0.338542,-0.361263,-0.110905,0.603139
1,cbf_feedback_only,0.391927,0.367188,0.941406,0.980469,0.266669,0.876109,0.901792,0.205000,0.938802,0.572917,-0.142003,-0.336390,0.587048
1,clipping_feedback_only,0.114583,0.628906,0.928385,0.955729,0.243390,0.782622,0.896802,0.177105,0.953125,0.317708,-0.569033,-0.303737,0.716858
1,distill_only_boundary,0.184896,0.610677,0.912760,0.959635,0.144372,0.328594,0.894851,0.141351,0.845052,0.311198,-0.361061,-0.066696,0.594256
1,full_counterfactual_boundary_v5,0.246094,0.531250,0.901042,0.972656,0.157727,0.259109,0.901368,0.115649,0.777344,0.380208,-0.235610,-0.007030,0.537065
1,minus_boundary_margin_loss,0.169271,0.614583,0.914062,0.912760,0.166966,0.434310,0.875652,0.176087,0.877604,0.311198,-0.407684,-0.121224,0.618183
1,minus_calibration_layer,0.208333,0.542969,0.904948,0.990885,0.262937,0.282617,0.906629,0.125187,0.789062,0.371094,-0.317363,-0.045124,0.572126
1,minus_counterfactual_labels,0.183594,0.623698,0.920573,0.898438,0.154867,0.410813,0.872372,0.184843,0.841146,0.304688,-0.390097,-0.105661,0.610838
1,minus_intervention_gradient,0.149740,0.609375,0.906250,0.947917,0.206391,0.379094,0.893431,0.146594,0.856771,0.315104,-0.424299,-0.094804,0.616894
1,minus_recovery_feasibility,0.153646,0.585938,0.906250,0.901042,0.154543,0.292409,0.880060,0.188657,0.800781,0.334635,-0.373361,-0.035613,0.589678
1,minus_unshielded_replay,0.195312,0.575521,0.915365,0.919271,0.160467,0.438346,0.885757,0.175693,0.850260,0.346354,-0.355016,-0.112687,0.599390
2,cbf_feedback_only,0.377604,0.350260,0.920573,0.981771,0.266246,0.875865,0.900719,0.204898,0.933594,0.571615,-0.145929,-0.313567,0.584390
2,clipping_feedback_only,0.125000,0.638021,0.940104,0.938802,0.239475,0.766385,0.882830,0.170296,0.946615,0.315104,-0.559671,-0.306933,0.715038
2,distill_only_boundary,0.191406,0.598958,0.915365,0.946615,0.142125,0.323625,0.887748,0.155412,0.845052,0.328125,-0.345307,-0.066552,0.588203
2,full_counterfactual_boundary_v5,0.210938,0.565104,0.903646,0.970052,0.157252,0.257505,0.892107,0.105263,0.752604,0.341146,-0.292804,-0.003324,0.554652
2,minus_boundary_margin_loss,0.169271,0.623698,0.903646,0.906250,0.165710,0.431250,0.876877,0.164083,0.872396,0.294271,-0.412465,-0.108181,0.620507
2,minus_calibration_layer,0.209635,0.523438,0.890625,0.990885,0.261925,0.282031,0.903364,0.100734,0.781250,0.372396,-0.303282,-0.027394,0.565363
2,minus_counterfactual_labels,0.192708,0.628906,0.906250,0.886719,0.152671,0.405563,0.871678,0.193810,0.863281,0.294271,-0.382298,-0.095628,0.609657
2,minus_intervention_gradient,0.157552,0.589844,0.907552,0.947917,0.206908,0.378437,0.891496,0.140292,0.847656,0.337240,-0.403928,-0.092455,0.609096
2,minus_recovery_feasibility,0.140625,0.600260,0.906250,0.912760,0.157146,0.293870,0.863126,0.173649,0.817708,0.313802,-0.396882,-0.042454,0.597509
2,minus_unshielded_replay,0.178385,0.619792,0.915365,0.936198,0.162074,0.444466,0.882657,0.162390,0.854167,0.311198,-0.402111,-0.118148,0.617965
3,cbf_feedback_only,0.348958,0.356771,0.930990,0.985677,0.268173,0.876966,0.898844,0.183656,0.928385,0.575521,-0.180377,-0.323983,0.592682
3,clipping_feedback_only,0.140625,0.602865,0.920573,0.967448,0.245236,0.786654,0.887591,0.164793,0.947917,0.332031,-0.527057,-0.294832,0.704133
3,distill_only_boundary,0.186198,0.567708,0.888021,0.960938,0.144553,0.327375,0.887912,0.123008,0.835938,0.335938,-0.332405,-0.037416,0.580132
3,full_counterfactual_boundary_v5,0.231771,0.518229,0.893229,0.970052,0.156774,0.256849,0.889213,0.095301,0.747396,0.380208,-0.241447,0.010904,0.535320
3,minus_boundary_margin_loss,0.196615,0.598958,0.906250,0.914062,0.166423,0.431836,0.862302,0.161701,0.856771,0.316406,-0.368953,-0.105112,0.607320
3,minus_calibration_layer,0.210938,0.527344,0.907552,0.992188,0.261890,0.281250,0.895608,0.097364,0.765625,0.386719,-0.304239,-0.039443,0.566253
3,minus_counterfactual_labels,0.195312,0.605469,0.890625,0.903646,0.155643,0.411813,0.873581,0.174869,0.834635,0.300781,-0.366920,-0.073458,0.602921
3,minus_intervention_gradient,0.174479,0.583333,0.894531,0.937500,0.205236,0.372914,0.880475,0.125099,0.839844,0.324219,-0.380766,-0.074213,0.602663
3,minus_recovery_feasibility,0.160156,0.619792,0.894531,0.910156,0.156486,0.292719,0.864253,0.163238,0.809896,0.285156,-0.388634,-0.028079,0.599596
3,minus_unshielded_replay,0.191406,0.606771,0.899740,0.919271,0.160074,0.435807,0.876219,0.154231,0.859375,0.304688,-0.378153,-0.099878,0.609796
4,cbf_feedback_only,0.339844,0.369792,0.933594,0.977865,0.266622,0.872193,0.897048,0.203698,0.936198,0.563802,-0.196603,-0.327495,0.597820
4,clipping_feedback_only,0.144531,0.600260,0.941406,0.960938,0.245345,0.785086,0.893895,0.183043,0.940104,0.348958,-0.521101,-0.312615,0.702349
4,distill_only_boundary,0.192708,0.572917,0.898438,0.953125,0.143235,0.325828,0.889051,0.145511,0.852865,0.335938,-0.328285,-0.052126,0.580073
4,full_counterfactual_boundary_v5,0.229167,0.555990,0.893229,0.968750,0.156425,0.257359,0.892909,0.119659,0.779948,0.345052,-0.267970,-0.000238,0.547923
4,minus_boundary_margin_loss,0.182292,0.627604,0.911458,0.910156,0.166103,0.432422,0.872102,0.162372,0.852865,0.292969,-0.401840,-0.110500,0.619364
4,minus_calibration_layer,0.236979,0.535156,0.912760,0.983073,0.260198,0.280156,0.903087,0.086944,0.783854,0.388021,-0.281589,-0.049118,0.563109
4,minus_counterfactual_labels,0.200521,0.593750,0.930990,0.897135,0.154498,0.408875,0.863602,0.181007,0.837240,0.343750,-0.353232,-0.112834,0.597570
4,minus_intervention_gradient,0.153646,0.597656,0.921875,0.941406,0.205856,0.376852,0.896400,0.146983,0.848958,0.341146,-0.412270,-0.106714,0.611997
4,minus_recovery_feasibility,0.149740,0.591146,0.911458,0.894531,0.154120,0.289531,0.870943,0.178831,0.845052,0.342448,-0.379984,-0.053222,0.591704
4,minus_unshielded_replay,0.190104,0.600260,0.907552,0.919271,0.159906,0.436393,0.873512,0.169298,0.863281,0.322917,-0.375455,-0.108858,0.608013
5,cbf_feedback_only,0.360677,0.372396,0.945312,0.984375,0.266462,0.873172,0.889855,0.186742,0.937500,0.571615,-0.176896,-0.339593,0.594575
5,clipping_feedback_only,0.115885,0.615885,0.917969,0.955729,0.244327,0.776911,0.883652,0.184305,0.934896,0.325521,-0.558604,-0.285527,0.711915
5,distill_only_boundary,0.188802,0.570312,0.907552,0.959635,0.144175,0.326063,0.880235,0.118856,0.835938,0.351562,-0.330991,-0.056429,0.580219
5,full_counterfactual_boundary_v5,0.250000,0.523438,0.898438,0.966146,0.156314,0.255536,0.885798,0.095840,0.759115,0.382812,-0.225528,0.002944,0.533101
5,minus_boundary_margin_loss,0.191406,0.589844,0.894531,0.907552,0.164856,0.428971,0.862983,0.161494,0.855469,0.325521,-0.367552,-0.091468,0.604819
5,minus_calibration_layer,0.199219,0.532552,0.886719,0.981771,0.259063,0.278359,0.894049,0.106592,0.755208,0.367188,-0.318228,-0.014279,0.569407
5,minus_counterfactual_labels,0.167969,0.621094,0.911458,0.906250,0.155697,0.410625,0.857576,0.172507,0.855469,0.305990,-0.404780,-0.101169,0.613257
5,minus_intervention_gradient,0.192708,0.542969,0.907552,0.942708,0.205376,0.374445,0.879822,0.117699,0.837240,0.375000,-0.336821,-0.085378,0.586309
5,minus_recovery_feasibility,0.156250,0.614583,0.888021,0.891927,0.153214,0.287185,0.861727,0.171720,0.841146,0.296875,-0.387330,-0.028203,0.597457
5,minus_unshielded_replay,0.208333,0.575521,0.907552,0.915365,0.159240,0.432292,0.863602,0.146070,0.859375,0.342448,-0.340018,-0.104914,0.595838
6,cbf_feedback_only,0.363281,0.334635,0.921875,0.983073,0.267166,0.870479,0.885818,0.187141,0.933594,0.587240,-0.150041,-0.312888,0.581774
6,clipping_feedback_only,0.117188,0.623698,0.921875,0.958333,0.245901,0.777807,0.882006,0.159350,0.921875,0.319010,-0.562824,-0.286387,0.714545
6,distill_only_boundary,0.230469,0.544271,0.895833,0.958333,0.143549,0.324891,0.874631,0.128387,0.834635,0.365885,-0.271139,-0.042104,0.563299
6,full_counterfactual_boundary_v5,0.234375,0.527344,0.895833,0.967448,0.156549,0.255354,0.881878,0.106922,0.760417,0.373698,-0.244150,0.004739,0.537496
6,minus_boundary_margin_loss,0.191406,0.623698,0.911458,0.916667,0.167557,0.430990,0.851964,0.148761,0.839844,0.309896,-0.390102,-0.106056,0.616381
6,minus_calibration_layer,0.200521,0.510417,0.891927,0.992188,0.260968,0.280664,0.892909,0.122647,0.794271,0.390625,-0.303921,-0.031683,0.562683
6,minus_counterfactual_labels,0.203125,0.598958,0.910156,0.902344,0.155900,0.408000,0.851485,0.156538,0.839844,0.325521,-0.354063,-0.092858,0.598864
6,minus_intervention_gradient,0.167969,0.561198,0.897135,0.949219,0.206934,0.376359,0.879170,0.130879,0.847656,0.355469,-0.374690,-0.080166,0.597601
6,minus_recovery_feasibility,0.153646,0.605469,0.897135,0.898438,0.154612,0.288203,0.854962,0.163165,0.820312,0.305990,-0.384871,-0.031474,0.595435
6,minus_unshielded_replay,0.197917,0.585938,0.904948,0.901042,0.156744,0.425130,0.856707,0.160697,0.842448,0.335938,-0.355195,-0.094686,0.599946
7,cbf_feedback_only,0.381510,0.326823,0.912760,0.977865,0.263816,0.867052,0.887755,0.190907,0.937500,0.588542,-0.124647,-0.302427,0.574614
7,clipping_feedback_only,0.127604,0.609375,0.920573,0.954427,0.243170,0.774112,0.877400,0.154662,0.932292,0.337240,-0.541509,-0.285665,0.706943
7,distill_only_boundary,0.191406,0.575521,0.895833,0.964844,0.144800,0.327938,0.885463,0.133042,0.850260,0.345052,-0.332145,-0.049924,0.581702
7,full_counterfactual_boundary_v5,0.250000,0.501302,0.894531,0.975260,0.158175,0.257870,0.890511,0.087279,0.760417,0.401042,-0.212559,0.005954,0.526633
7,minus_boundary_margin_loss,0.201823,0.608073,0.893229,0.906250,0.164837,0.428516,0.865604,0.169238,0.856771,0.307292,-0.368212,-0.090763,0.608511
7,minus_calibration_layer,0.223958,0.522135,0.882812,0.990885,0.261412,0.280273,0.891462,0.116840,0.773438,0.368490,-0.287181,-0.016172,0.561779
7,minus_counterfactual_labels,0.190104,0.608073,0.891927,0.915365,0.157702,0.415000,0.865559,0.154889,0.854167,0.303385,-0.375169,-0.082368,0.605549
7,minus_intervention_gradient,0.157552,0.578125,0.898438,0.941406,0.205245,0.372914,0.872024,0.122420,0.832031,0.337240,-0.394950,-0.075949,0.604383
7,minus_recovery_feasibility,0.145833,0.614583,0.895833,0.906250,0.156495,0.290727,0.858011,0.160923,0.805990,0.302083,-0.399734,-0.027609,0.600556
7,minus_unshielded_replay,0.179688,0.595052,0.901042,0.920573,0.159805,0.434115,0.862952,0.162744,0.842448,0.322917,-0.382435,-0.095295,0.608138
8,cbf_feedback_only,0.347656,0.348958,0.938802,0.976562,0.265591,0.872438,0.902668,0.201138,0.936198,0.595052,-0.175142,-0.331764,0.589434
8,clipping_feedback_only,0.117188,0.641927,0.925781,0.953125,0.244651,0.779039,0.892622,0.157472,0.936198,0.303385,-0.574215,-0.295371,0.720301
8,distill_only_boundary,0.170573,0.588542,0.919271,0.970052,0.145598,0.331641,0.897250,0.137219,0.843750,0.337240,-0.362832,-0.073740,0.590623
8,full_counterfactual_boundary_v5,0.220052,0.554688,0.901042,0.980469,0.158861,0.260641,0.900719,0.097565,0.769531,0.351562,-0.277912,-0.006736,0.550161
8,minus_boundary_margin_loss,0.179688,0.610677,0.915365,0.898438,0.164475,0.427148,0.869631,0.160366,0.864583,0.315104,-0.392322,-0.115201,0.613543
8,minus_calibration_layer,0.216146,0.523438,0.903646,0.979167,0.257571,0.279102,0.902808,0.107320,0.778646,0.389323,-0.294723,-0.037580,0.562926
8,minus_counterfactual_labels,0.197917,0.592448,0.917969,0.893229,0.153864,0.407188,0.863190,0.189980,0.838542,0.339844,-0.354579,-0.099478,0.597358
8,minus_intervention_gradient,0.169271,0.583333,0.906250,0.950521,0.207855,0.379039,0.888076,0.140848,0.828125,0.339844,-0.388118,-0.085256,0.604911
8,minus_recovery_feasibility,0.131510,0.605469,0.902344,0.907552,0.156572,0.293560,0.875562,0.178155,0.834635,0.308594,-0.409348,-0.043749,0.600858
8,minus_unshielded_replay,0.221354,0.574219,0.912760,0.898438,0.155782,0.427344,0.871138,0.169569,0.854167,0.351562,-0.323774,-0.105782,0.591601
