seed,method,task_success,deployed_violation,unshielded_violation,intervention_rate,intervention_severity,filter_dependence,boundary_f1,boundary_ece,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret
9,cbf_feedback_only,0.382812,0.361979,0.937500,0.985677,0.267183,0.870724,0.881924,0.181335,0.941406,0.575521,-0.147197,-0.331433,0.586651
9,clipping_feedback_only,0.122396,0.619792,0.924479,0.954427,0.244065,0.771424,0.869436,0.158211,0.930990,0.321615,-0.553182,-0.288822,0.711157
9,distill_only_boundary,0.182292,0.570312,0.897135,0.960938,0.144094,0.326109,0.882483,0.131472,0.841146,0.339844,-0.337696,-0.047706,0.581512
9,full_counterfactual_boundary_v5,0.229167,0.524740,0.880208,0.968750,0.156979,0.255063,0.877116,0.086839,0.777344,0.368490,-0.247948,0.015286,0.537747
9,minus_boundary_margin_loss,0.199219,0.584635,0.890625,0.923177,0.168875,0.433464,0.853474,0.131621,0.850260,0.324219,-0.358257,-0.088098,0.602853
9,minus_calibration_layer,0.187500,0.531250,0.886719,0.986979,0.261227,0.278398,0.884195,0.083114,0.777344,0.368490,-0.330132,-0.021555,0.571729
9,minus_counterfactual_labels,0.235677,0.579427,0.897135,0.912760,0.156316,0.412063,0.854103,0.178362,0.847656,0.337240,-0.309070,-0.082458,0.586666
9,minus_intervention_gradient,0.174479,0.567708,0.898438,0.946615,0.206350,0.373953,0.868852,0.126027,0.825521,0.338542,-0.371432,-0.073919,0.597988
9,minus_recovery_feasibility,0.166667,0.611979,0.894531,0.901042,0.155092,0.287760,0.844682,0.154217,0.845052,0.303385,-0.375594,-0.036174,0.594948
9,minus_unshielded_replay,0.217448,0.600260,0.894531,0.912760,0.158639,0.430404,0.863222,0.141005,0.830729,0.311198,-0.345677,-0.083106,0.601597
