seed,task,split,episode,stress_level,method,threshold,boundary_score,boundary_label,predicted_boundary,accepted,task_success,deployed_violation,unshielded_violation,intervention,intervention_severity,filter_dependence,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret,hazard_probability,budget,budget
0,narrow_gap_navigation,low_signal_high_risk_shift,0,,counterfactual_boundary_learning_filter_v5,0.520000,0.707395,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.818903,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,1,,counterfactual_boundary_learning_filter_v5,0.520000,0.533412,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.917207,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,2,,counterfactual_boundary_learning_filter_v5,0.520000,0.655319,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.847724,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,3,,counterfactual_boundary_learning_filter_v5,0.520000,0.688210,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.818942,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,4,,counterfactual_boundary_learning_filter_v5,0.520000,0.584595,0,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.837126,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,5,,counterfactual_boundary_learning_filter_v5,0.520000,0.776898,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.901835,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,6,,counterfactual_boundary_learning_filter_v5,0.520000,0.829053,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.789684,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,7,,counterfactual_boundary_learning_filter_v5,0.520000,0.803861,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.726146,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,8,,counterfactual_boundary_learning_filter_v5,0.520000,0.751675,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.879040,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,9,,counterfactual_boundary_learning_filter_v5,0.520000,0.621839,0,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.896903,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,10,,counterfactual_boundary_learning_filter_v5,0.520000,0.888185,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.865505,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,11,,counterfactual_boundary_learning_filter_v5,0.520000,0.719290,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.817897,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,12,,counterfactual_boundary_learning_filter_v5,0.520000,0.864286,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.855976,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,13,,counterfactual_boundary_learning_filter_v5,0.520000,0.836776,0,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.822308,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,14,,counterfactual_boundary_learning_filter_v5,0.520000,0.671267,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.816836,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,15,,counterfactual_boundary_learning_filter_v5,0.520000,0.484455,1,0,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.795882,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,16,,counterfactual_boundary_learning_filter_v5,0.520000,0.789952,0,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.821967,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,17,,counterfactual_boundary_learning_filter_v5,0.520000,0.934333,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.900785,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,18,,counterfactual_boundary_learning_filter_v5,0.520000,0.698623,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.913954,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,19,,counterfactual_boundary_learning_filter_v5,0.520000,0.598679,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.825680,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,20,,counterfactual_boundary_learning_filter_v5,0.520000,0.620024,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.792494,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,21,,counterfactual_boundary_learning_filter_v5,0.520000,0.457619,1,0,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.870041,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,22,,counterfactual_boundary_learning_filter_v5,0.520000,0.879387,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.865415,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,23,,counterfactual_boundary_learning_filter_v5,0.520000,0.776174,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.057088,1.264320,0.356800,0.751219,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,0,,cbf_safety_filter,0.360000,0.628332,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.063168,1.260520,0.394800,0.818903,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,1,,cbf_safety_filter,0.360000,0.474667,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.063168,1.260520,0.394800,0.917207,0.0,0.0
0,narrow_gap_navigation,low_signal_high_risk_shift,2,,cbf_safety_filter,0.360000,0.799169,1,1,0,0,0,0,0,0.000000,0.000000,0,0,-0.063168,1.260520,0.394800,0.847724,0.0,0.0
